id,name,gender,birth_date,birth_city,birth_country,birth_continent,alive,prize_year,prize_category,prize_sort_order,prize_portion,prize_status,prize_motivation,prize_amount_adjusted,prize_affiliation_name,prize_affiliation_city,prize_affiliation_country,age
745,A. Michael Spence,male,1943,"Montclair, NJ",USA,North America,1,2001,Economic Sciences,2,1/3,received,for their analyses of markets with asymmetric information,15114754,Stanford University,"Stanford, CA",USA,58
102,Aage N. Bohr,male,1922,Copenhagen,Denmark,Europe,0,1975,Physics,1,1/3,received,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,4184870,Niels Bohr Institute,Copenhagen,Denmark,53
779,Aaron Ciechanover,male,1947,Haifa,Israel,Asia,1,2004,Chemistry,1,1/3,received,for the discovery of ubiquitin-mediated protein degradation,14460477,Technion - Israel Institute of Technology,Haifa,Israel,57
259,Aaron Klug,male,1926,Zelvas,Lithuania,Europe,0,1982,Chemistry,1,1,received,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,3814029,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,56
1004,Abdulrazak Gurnah,male,1948,,,Africa,1,2021,Literature,1,1,received,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,11760204,,,,73
114,Abdus Salam,male,1926,Jhang Maghiāna,Pakistan,Asia,0,1979,Physics,2,1/3,received,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",3673307,International Centre for Theoretical Physics,Trieste,Italy,53
982,Abhijit Banerjee,male,1961,Mumbai,India,Asia,1,2019,Economic Sciences,1,1/3,received,for their experimental approach to alleviating global poverty,10866946,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,58
981,Abiy Ahmed Ali,male,1976,Beshasha,Ethiopia,Africa,1,2019,Peace,1,1,received,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",10866946,,,,43
843,Ada E. Yonath,female,1939,Jerusalem,Israel,Asia,1,2009,Chemistry,3,1/3,received,for studies of the structure and function of the ribosome,13471654,Weizmann Institute of Science,Rehovot,Israel,70
866,Adam G. Riess,male,1969,"Washington, D.C.",USA,North America,1,2011,Physics,3,1/4,received,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,12964004,Johns Hopkins University,"Baltimore, MD",USA,42
199,Adolf Butenandt,male,1903,Bremerhaven-Lehe,Germany,Europe,0,1939,Chemistry,1,1/2,received,for his work on sex hormones,5197496,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,36
164,Adolf von Baeyer,male,1835,Berlin,Germany,Europe,0,1905,Chemistry,1,1,received,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",9361622,Munich University,Munich,Germany,70
185,Adolf Windaus,male,1876,Berlin,Germany,Europe,0,1928,Chemistry,1,1,received,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,5480976,Goettingen University,Göttingen,Germany,52
541,Adolfo Pérez Esquivel,male,1931,Buenos Aires,Argentina,South America,1,1980,Peace,1,1,received,"for being a source of inspiration to repressed people, especially in Latin America",3552364,,,,49
292,Ahmed Zewail,male,1946,Damanhur,Egypt,Africa,0,1999,Chemistry,1,1,received,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,12353799,California Institute of Technology (Caltech),"Pasadena, CA",USA,53
853,Akira Suzuki,male,1930,Mukawa,Japan,Asia,1,2010,Chemistry,3,1/3,received,for palladium-catalyzed cross couplings in organic synthesis,13300635,Hokkaido University,Sapporo,Japan,80
978,Akira Yoshino,male,1948,Suita,Japan,Asia,1,2019,Chemistry,3,1/3,received,for the development of lithium-ion batteries,10866946,Asahi Kasei Corporation,Tokyo,Japan,71
819,Al Gore,male,1948,"Washington, D.C.",USA,North America,1,2007,Peace,2,1/2,received,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",13893912,,,,59
1012,Alain Aspect,male,1947,Agen,France,Europe,1,2022,Physics,1,1/3,received,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10852166,Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,75
729,Alan Heeger,male,1936,"Sioux City, IA",USA,North America,1,2000,Chemistry,1,1/3,received,for the discovery and development of conductive polymers,13932169,University of California,"Santa Barbara, CA",USA,64
376,Alan Hodgkin,male,1914,Banbury,United Kingdom,Europe,0,1963,Physiology or Medicine,2,1/3,received,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,3490429,University of Cambridge,Cambridge,United Kingdom,49
730,Alan MacDiarmid,male,1927,Masterton,New Zealand,Oceania,0,2000,Chemistry,2,1/3,received,for the discovery and development of conductive polymers,13932169,University of Pennsylvania,"Philadelphia, PA",USA,73
11,Albert A. Michelson,male,1852,Strzelno,Poland,Europe,0,1907,Physics,1,1,received,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,8646616,University of Chicago,"Chicago, IL",USA,55
628,Albert Camus,male,1913,Mondovi,Algeria,Africa,0,1957,Literature,1,1,received,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",3316482,,,,44
